Doctor on Demand,http://doctorondemand.com,http://www.linkedin.com/company/doctor-on-demand,"[u'Jay McGraw', u'Adam Jackson']",[u'Health Care'],USA
CAIS,http://caisgroup.com,http://www.linkedin.com/company/cais-group,"[u'Rafay H. Farooqui', u'Matt Brown']",[u'Software'],USA
Improbable,http://www.improbable.io,https://www.linkedin.com/company/improbable,"[u'Rob Whitehead', u'Herman Narula']","[u'Cloud Computing', u'Software', u'Technology', u'Games']",GBR
Arctic Wolf Networks,http://arcticwolf.com,http://www.linkedin.com/company/arctic-wolf-networks,"[u'Kim Tremblay', u'Brian NeSmith']",[u'Network Security'],CAN
Vsevcredit.ru,http://vsevcredit.ru,,[],"[u'FinTech', u'Finance']",RUS
Coinplug,http://www.coinplug.com,,"[u'Jay Hong', u'Ryan Uhr']","[u'Finance Technology', u'Bitcoin', u'Finance']",KOR
MixVille,http://mixville.ru,,[],"[u'Coffee', u'Mass Customization', u'E-Commerce']",RUS
BABADU,http://babadu.ru,,[u'Natalia Shkirtil'],[u'E-Commerce'],USA
ARMO BioSciences,http://armobio.com,,[u'Martin Oft'],[u'Biotechnology'],USA
Editas Medicine,http://www.editasmedicine.com,http://www.linkedin.com/company/4995975,"[u'J. Keith Joung', u'Jennifer A. Doudna', u'Feng Zhang', u'George Church']","[u'Biotechnology', u'Health Care']",USA
Tinybop,http://tinybop.com,,[u'Raul Gutierrez'],"[u'iOS', u'Education', u'Apps', u'Software', u'Media', u'Life Sciences', u'Kids']",USA
Focaltech Systems,http://www.focaltech-systems.com/,,[],[u'Electronics'],TWN
ABSMaterials,http://www.absmaterials.com,http://www.linkedin.com/company/349312,[u'Paul Edmiston'],[u'Clean Technology'],USA
Watson Brown,http://www.wb-hsm.com,,[],[u'Clean Technology'],GBR
Crowd Cast,http://crowdcast.jp,,[],"[u'Startups', u'Small and Medium Businesses', u'Software', u'Mobile']",JPN
Allergen Research Corporation,http://allergenresearch.com,,[u'Bryan Walser'],[u'Hospitality'],USA
Qnergy,http://www.qnergy.com,https://www.linkedin.com/company/ricorsolar,[],[u'Manufacturing'],
"Influence Technologies, LLC",http://influence.tv,https://www.linkedin.com/company/influence-technologies-llc,[u'Jeff Swaim'],"[u'Online Video Advertising', u'Lead Generation', u'Email Marketing', u'CRM', u'Mobile Video', u'Internet']",USA
Zoomvy,http://www.zoomvy.com,,[],"[u'Online Shopping', u'E-Commerce']",USA
TrialBee,http://trialbee.com,http://www.linkedin.com/company/trialbee,[u'Tobias Folkesson'],"[u'Bio-Pharm', u'Software', u'Pharmaceuticals']",SWE
GirnarSoft,http://www.girnarsoft.com,https://www.linkedin.com/company/girnarsoft,"[u'Anurag Jain', u'Amit Jain']","[u'Mobility', u'Mobile Software Tools', u'Web Development', u'Enterprise Software']",IND
"Pricebook Co., Ltd.",http://www.pricebook.co.id,,[],[u'E-Commerce'],JPN
ProtectWise,http://www.protectwise.com,http://www.linkedin.com/company/3087510,"[u'Gene Stevens', u'Scott Chasin']","[u'Information Security', u'Network Security']",USA
Domino Data Lab,http://www.dominodatalab.com,http://www.linkedin.com/company/domino-data-lab,"[u'Chris Yang', u'Nick Elprin', u'Matthew Granade']","[u'Machine Learning', u'Analytics', u'Software', u'Data Mining']",USA
Dimension Therapeutics,http://dimensiontx.com,https://www.linkedin.com/company/dimension-therapeutics,"[u'Allan M. Fox', u'Ben Auspitz']",[u'Biotechnology'],USA
Jaunt,http://jauntvr.com,http://www.linkedin.com/company/jaunt-vr,"[u'Tom Annau', u'Jens Christensen', u'Arthur van Hoff']",[u'Software'],USA
Xooker,https://gust.com/companies/xooker,,[u'Conrad R. Carney II'],"[u'Messaging', u'Incentives', u'App Marketing', u'Gamification', u'3D', u'Games', u'Loyalty Programs', u'Mobile']",USA
Veritract,http://veritract.com,,[u'John Fang'],[u'Hardware + Software'],USA
21 Inc,https://21.co,https://www.linkedin.com/company/21dotco,"[u'Matt Pauker', u'Nigel Drego', u'Daniel Firu', u'Veerbhan Kheterpal', u'Nigel Drego', u'Matt Pauker', u'Matthew Pauker', u'Balaji S. Srinivasan']","[u'Bitcoin', u'Big Data', u'Hardware + Software', u'Technology']",USA
"SmartStory Technologies, Inc.",http://www.smartstory.com/,http://www.linkedin.com/company/3806750,[u'Michael Boerner'],"[u'Marketing Automation', u'CRM', u'Enterprise Software', u'E-Commerce', u'Video', u'Technology']",USA
Intelligent Reach,http://www.intelligentreach.com,http://www.linkedin.com/company/2594176,[],[u'Advertising'],GBR
Par8o,http://www.par8o.com,http://www.linkedin.com/company/par8o,"[u'Adam Sharp', u'Daniel Palestrant']","[u'Fitness', u'Health Care', u'Health and Wellness']",USA
CytoVale,http://www.cytovale.com/,,"[u'Ajay Shah', u'Dino Di Carlo']",[u'Biotechnology'],USA
B2X Care Solutions,http://www.b2x.com,http://www.linkedin.com/company/b2x-care-solutions,[u'Karim Barkawi'],"[u'Supply Chain Management', u'Tablets', u'Customer Service', u'Hardware + Software', u'Mobile']",USA
onlinetours,http://www.onlinetours.ru,,[],[u'E-Commerce'],RUS
NAME'S Online Department Store,http://names.ru,,[u'Vakhtang Akirtava'],"[u'Online Shopping', u'Fashion', u'Retail', u'E-Commerce']",RUS
VitalFields,http://vitalfields.com,,"[u'Vahur Meus', u'Martin Rand']",[u'Software'],EST
OpenAgent.com.au,http://www.openagent.com.au,http://www.linkedin.com/company/openagent-com-au,"[u'Marta Higuera', u'Zoe Pointon']","[u'Property Management', u'Hardware', u'Real Estate']",AUS
Synoste Oy,http://synoste.fi,https://www.linkedin.com/company/synoste-oy,[u'Harri Hallila'],[u'Biotechnology'],FIN
TouchBistro,http://touchbistro.com,http://www.linkedin.com/company/touchbistro,[u'Alex Barrotti'],[u'Software'],USA
QRxPharma,http://qrxpharma.com,,[],[u'Biotechnology'],AUS
BBOXX,http://www.bboxx.co.uk,http://www.linkedin.com/company/bboxx-ltd,[],[u'Hardware + Software'],GBR
BTCjam,http://btcjam.com,http://www.linkedin.com/company/btcjam,[u'Celso Pitta'],"[u'Consumer Lending', u'Bitcoin', u'Finance']",USA
XOEye Technologies,http://www.xoeye.com,,"[u'Aaron Salow', u'Chris Salow']","[u'Wearables', u'Logistics', u'Construction', u'Manufacturing', u'Enterprise Software']",USA
Verto Analytics,http://vertoanalytics.com,http://www.linkedin.com/company/verto-analytics,[],"[u'Business Intelligence', u'Telecommunications', u'Cloud Computing']",USA
Carousell,http://carousell.co,https://www.linkedin.com/company/carousell,"[u'Lucas Ngoo', u'Marcus Tan Yi Wei', u'Quek Siu Rui']",[u'Curated Web'],SGP
Maxta,http://www.maxta.com,http://www.linkedin.com/company/maxta-inc-,[u'Yoram Novick'],[u'Software'],USA
