ApplePie Capital,http://www.applepiecapital.com,http://www.linkedin.com/company/applepie-capital,"[u'Steve Pelletier', u'Denise Thomas']",[u'Financial Services'],USA
Vouch Financial,http://vouch.com,https://www.linkedin.com/company/vouch,"[u'Hugh Olliphant', u'Sue Korn', u'Yee Lee']",[u'Financial Services'],
"Anews, Inc.",http://www.anews.com,,[],"[u'News', u'Social Network Media', u'Blogging Platforms', u'Social Media']",USA
Harpoon Medical,http://www.harpoonmedical.com/,http://www.linkedin.com/company/harpoon-medical-inc-,[u'James Gammie'],[u'Medical Devices'],USA
hovelstay.com,http://hovelstay.com/,http://www.linkedin.com/company/hovelstay,[u'Michael Bolger'],"[u'Marketplaces', u'Startups', u'Hospitality', u'Online Travel', u'Travel', u'Adventure Travel', u'Travel & Tourism']",USA
Appeon Corporation,http://www.appeon.com,http://www.linkedin.com/company/99031,[u'Armeen Mazda'],[u'Enterprise Software'],HKG
Checkr,https://checkr.com/,,"[u'Jonathan Perichon', u'Daniel Yanisse']","[u'Startups', u'Developer APIs', u'Software', u'Legal']",USA
Alert Media,http://www.alertmedia.com,http://www.linkedin.com/company/3582832,[u'David Godwin'],"[u'Healthcare Services', u'Mass Customization', u'Services', u'Technology']",USA
Lanetix,http://www.lanetix.com,http://www.linkedin.com/company/lanetix,"[u'Natasha Oxenburgh', u'John Golob', u'Aaron Sasson', u'Troy Goode']","[u'Logistics', u'Business Productivity', u'CRM', u'Transportation']",USA
Physiq,http://physiq.com,http://www.linkedin.com/company/vgbio,"[u'Matt Pipke', u'Gary Conkright']","[u'Health Care', u'Health and Wellness']",USA
Insureon,http://www.insureon.com/,http://www.linkedin.com/company/insureon,[u'Jim Cochran'],[u'Insurance'],USA
Trello,http://trello.com,,"[u'Michael Pryor', u'Joel Spolsky']","[u'Apps', u'Project Management']",USA
Hypori,http://www.hypori.com/,https://www.linkedin.com/company/4819761?trk=vsrp_companies_res_name&trkInfo=VSRPsearchId%3A1806371491420831959573%2CVSRPtargetId%3A4819761%2CVSRPcmpt%3Aprimary,"[u'Brian Vetter', u'Justin Marston']","[u'Virtualization', u'Mobility', u'Software']",USA
Handshake,http://www.handshake.com/,http://www.linkedin.com/company/handshake-corp,[u'Glen Coates'],"[u'Sales Automation', u'B2B', u'SaaS']",USA
Grouplend,http://www.grouplend.ca,http://www.linkedin.com/company/3629468,[u'Kevin Sandhu'],"[u'FinTech', u'Peer-to-Peer', u'Consumer Lending', u'Finance Technology']",CAN
Telemedicine Solutions LLC,http://www.woundrounds.com/,http://www.linkedin.com/company/2117442,"[u'Phil Sheridan', u'John Croghan']","[u'Health Care Information Technology', u'mHealth']",USA
DriveWealth,http://www.drivewealth.com,http://www.linkedin.com/company/drivewealth,"[u'Aric Rosenbaum', u'Robert Cortright']","[u'FinTech', u'Social Investing', u'Finance Technology', u'Wealth Management', u'Personal Finance', u'Financial Services']",USA
Zest Health,http://www.zesthealth.com/,http://www.linkedin.com/company/zest-health,[],[u'Health and Wellness'],USA
Bobobobo,http://www.bobobobo.com,https://www.linkedin.com/company/pt-bobobobo,[u'Jimmy Akili'],[u'Internet'],IDN
amcure,http://amcure.com,,[],[u'Biotechnology'],DEU
Weimob,http://weimob.com,,[u'Sun Taoyong'],[u'Social Network Media'],CHN
Clarifai,http://clarifai.com/,,[u'Matthew Zeiler'],"[u'Software', u'Image Recognition']",USA
Appdra,http://appdra.com/,http://www.linkedin.com/company/appdra-software,[],[u'Software'],IND
Meizu,http://meizu.com,https://www.linkedin.com/company/meizu,[],"[u'Android', u'Mobile Commerce', u'Hardware', u'Mobile']",CHN
Synlogic,http://synlogictx.com/,,"[u'Ankit Mahadevia', u'Jim Collins']",[u'Biotechnology'],USA
Onevest,http://www.onevest.com/,http://www.linkedin.com/company/onevest,"[u'Shahab Kaviani', u'Alejandro Cremades', u'Tanya Prive', u'Erick Brimen']","[u'Curated Web', u'Entrepreneur', u'Marketplaces', u'Finance Technology', u'Startups', u'B2B', u'Finance', u'Investment Management']",USA
Framebridge,http://www.framebridge.com/,,[u'Susan Tynan'],"[u'Home Decor', u'E-Commerce', u'Consumer Goods']",USA
Stronghold Technology,http://www.strinita.com/,,[],"[u'Coffee', u'Business Services']",KOR
FXTrip,http://www.fxtrip.com/,,[],[u'Travel'],CHN
Campanda,http://www.campanda.com,,[u'Chris M\xf6ller'],"[u'Travel & Tourism', u'Online Rental']",DEU
eGym,http://my.egym.de/cms,,[u'Philipp Roesch-Schlanderer'],[u'Fitness'],DEU
Bolt Threads,http://www.boltthreads.com,https://www.linkedin.com/company/bolt-threads,"[u'David Breslauer', u'Dan Widmaier']","[u'Manufacturing', u'Fashion', u'Consumer Goods']",USA
Sindeo,http://www.sindeo.com,http://www.linkedin.com/company/3488835,"[u'Christopher Hussain', u'Nick Stamos', u'Ori Zohar']","[u'Financial Services', u'Real Estate']",USA
eShop Ventures,http://www.eshopventures.com/,http://www.linkedin.com/company/eshop-ventures,[],[u'Retail'],ESP
Distelli,https://www.distelli.com,https://www.linkedin.com/company/distelli-inc,[u'Rahul Singh'],"[u'Cloud Infrastructure', u'Cloud Computing', u'Enterprise Software', u'Developer Tools', u'SaaS']",USA
GelSight,http://gelsight.com,http://www.linkedin.com/company/gelsight,[],"[u'Test and Measurement', u'Nanotechnology', u'Sensors', u'Aerospace']",USA
Tracksmith,http://tracksmith.com/,http://www.linkedin.com/company/tracksmith,"[u'Luke Scheybeler', u'Matt Taylor']","[u'Fashion', u'Lifestyle', u'E-Commerce']",USA
Health Warrior,http://healthwarrior.com/,,"[u'Nick Morris', u'Daniel Gluck', u'Shane Emmett']",[u'Specialty Foods'],USA
MatterFab,http://matterfab.com/,https://www.linkedin.com/company/3791640,[u'Matthew Burris'],"[u'Manufacturing', u'B2B', u'Hardware']",USA
Sol Chip,http://www.sol-chip.com/,http://www.linkedin.com/company/sol-chip,"[u'Rami Friedlander', u'Shani Keysar']","[u'Clean Technology', u'Semiconductors']",ISR
OnCore Golf Technology,http://oncoregolf.com/,,[],[u'Sports'],USA
Getui,http://www.igetui.com/,,[u'Fang Yi'],"[u'Service Providers', u'Technology', u'Services']",CHN
Edico Genome,http://www.edicogenome.com/,http://www.linkedin.com/company/edico-genome,[u'Pieter van Rooyen'],[u'Biotechnology'],USA
Trice Medical,http://tricemedical.com,,[],"[u'Health Diagnostics', u'Medical']",USA
Porphyrio,http://porphyrio.com,,[],[u'Software'],BEL
InflaRx,http://inflarx.com,,[],[u'Pharmaceuticals'],DEU
FINALCAD,http://www.finalcad.com,http://www.linkedin.com/company/FINALCAD,[],"[u'Systems', u'Construction', u'Mobile', u'Innovation Management']",FRA
hiQ Labs,http://www.hiqlabs.com/,http://www.linkedin.com/company/hiq-labs,[u'Darren Kaplan'],"[u'Big Data Analytics', u'Human Resources', u'Enterprises', u'Analytics']",USA
Happn,http://www.happn.fr/en,,"[u'Antony Cohen', u'Didier Rappaport']","[u'Application Platforms', u'Apps', u'Mobile']",FRA
Pager,http://pager.com/,https://www.linkedin.com/company/pager,"[u'Philip Eytan', u'Oscar Salazar', u'Gaspard de Dreuzy']","[u'Mobile', u'Health Care', u'Technology']",USA
Solum,http://solum.ag,,"[u'Justin White', u'Mike Preiner', u'Nick Koshnick']","[u'Agriculture', u'Software']",USA
FullStory,http://www.fullstory.com,http://www.linkedin.com/company/fullstory,"[u'Joel Webber', u'Bruce Johnson', u'Scott Voigt']",[u'Internet'],USA
Azalead,http://www.azalead.com,http://www.linkedin.com/company/azalead,"[u'Herv\xe9 Paolini', u'Nick Heys']","[u'Marketing Automation', u'Sales and Marketing', u'Software', u'Enterprise Software']",FRA
A2Zlogix,http://a2zlogix.com,http://www.linkedin.com/company/a2zlogix,[],"[u'Content', u'Advertising', u'Content Delivery', u'Content Creators', u'Mobile', u'3D']",USA
24tidy,http://24tidy.com,,[],[u'Services'],CHN
Imagine Health,http://imagine-health.net,,[u'Allison Robbins'],"[u'Employment', u'Health Care']",USA
Global BioDiagnostics,http://www.globalbiodiagnostics.com,http://www.linkedin.com/company/global-biodiagnostics-corp.,"[u'Chris Thornton', u'Michael Norman']","[u'Health Diagnostics', u'Medical']",USA
Peach,https://www.peachd.com/,https://www.linkedin.com/company/peachd,"[u'Denis Bellavance', u'Chenyu Wang', u'Nishant Singh']","[u'Delivery', u'Location Based Services', u'Restaurants']",USA
PurpleBricks,http://www.purplebricks.com/,http://www.linkedin.com/company/purplebricks-com,[],"[u'Marketing Automation', u'Marketplaces', u'Business Services']",GBR
Button,http://www.usebutton.com/,https://www.linkedin.com/company/button-inc-,"[u'Stephen Milbank', u'Siddhartha Dabral', u'Tanner Hackett', u'Mike Dudas', u'Michael Jaconi', u'Chris Maddern']",[u'Mobile'],USA
Qnips GmbH,http://www.qnips.com,,[u'Christian Br\xfctzel'],"[u'Mobile Payments', u'Mobile Coupons', u'Mobile']",
BOOK A TIGER,https://www.bookatiger.com,http://www.linkedin.com/company/book-a-tiger,"[u'Nikita Fahrenholz', u'Claude Ritter']",[u'Consumer Goods'],DEU
AYOXXA Biosystems,http://ayoxxa.com,http://www.linkedin.com/company/1415846,"[u'Dieter Trau', u'Andreas Schmidt']",[u'Biotechnology'],DEU
IncludeFitness,http://www.includefitness.com/,http://www.linkedin.com/company/5040745,[u'Ryan Eder'],[u'Health and Wellness'],USA
BirdDog,http://birddoghr.com,http://www.linkedin.com/company/birddog,[u'Marc Sampson'],[u'Outsourcing'],USA
Bizweb.vn,http://bizweb.vn,,[u'Tran Trong Tuyen'],"[u'Web Design', u'Web Development', u'E-Commerce']",VNM
Alation,http://alation.com/,,"[u'Feng Niu', u'Venky Ganti', u'Aaron Kalb', u'Satyen Sangani']","[u'Big Data', u'Information Technology', u'Databases', u'Technology']",USA
InsightETE,http://www.insightete.com/,http://www.linkedin.com/company/1900816,[],[u'Software'],USA
Aircraft Logs,http://www.aircraftlogs.com,http://www.linkedin.com/company/880886,[],[u'Enterprise Software'],USA
Troodon,http://www.troodo.com/,,[],[],CHN
Exacter,http://www.exacterinc.com/,http://www.linkedin.com/company/268757,[u'John Lauletta'],[u'Real Estate'],USA
Midwest Micro Devices,http://www.midwestmicrodevices.com/,,[],[u'Semiconductor Manufacturing Equipment'],USA
AquaBlok,http://www.aquablok.com/,http://www.linkedin.com/company/aquablok-ltd.,[],[u'Manufacturing'],USA
NetMovie,http://www.netmovie.com/,,[],[],CHN
SealPak Innovations,http://www.shurtrax.com,,[],[u'Automotive'],USA
Miovision Technologies,http://miovision.com/,https://www.linkedin.com/company/miovision-technologies,[u'Tony Brijpaul'],"[u'Application Platforms', u'Data Visualization', u'Video']",ARG
Gtxh,http://gtxh.com/,,[],[u'E-Commerce'],CHN
YouChe.com,http://www.youche.com/,,[u'William Tu'],"[u'Cars', u'Utility Land Vehicles', u'Automotive', u'Retail']",CHN
HII Technologies,http://hiitinc.com/,,[],"[u'Energy Management', u'Services', u'Energy']",USA
