Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
Zimi,http://www.zmifi.com/,,,"Online Shopping, Mobile Devices, Mobile",,,
Adaptivio,http://www.adaptiv.io/,http://www.linkedin.com/company/adaptiv-io,David Lee,Software,USA,,
Fusion Microfinance,http://fusionmicrofinance.com/,https://www.linkedin.com/company/fusion-microfinance,"Devesh Sachdev, Ashish Tewari",Finance,IND,,
Juicero,http://juicero.com/,,Doug Evans,"Startups, Service Providers",,,
TrapX,http://trapx.com/,https://www.linkedin.com/company/trapx,Yuval Malachi,Computer Vision,USA,,
Mishi,http://www.mishi.cn/,,,"Delivery, Apps, Consumer Goods, Services",,,
Zopper,http://www.zopper.com/,https://www.linkedin.com/company/zopper/,"Neeraj Jain, Surjendu Kuila",Mobile,IND,,
Clear-Cut Medical,http://www.clrcut.com/,https://www.linkedin.com/company/clearcut-medical,Eyal Kolka,"Hospitals, Medical, Health Care",ISR,,
Convirza,https://www.convirza.com/,https://www.linkedin.com/company/convirza,,"Call Center Automation, Marketing Automation, Software, Telecommunications, Telephony, Advertising, Internet Marketing, Enterprise Software",USA,,
Jpush,https://www.jpush.cn/,,,"iOS, Android, Mobile",CHN,,
Zound Industries,http://www.zoundindustries.com,https://www.linkedin.com/company/zound-industries,"Oscar Axhede, Niklas Bergh, Konrad Bergstr\xf6m",Electronics,SWE,,
ClarVista Medical,http://clarvistamedical.com,https://www.linkedin.com/company/clarvista-medical,Robert Atkinson,Medical,USA,,
EasyStack,http://www.easystack.cn/en/,,ruilin wang,"Service Providers, Cloud Computing, Information Technology",CHN,,
Keru Cloud,http://keruyun.com/,,,,,,
Carspring,https://www.carspring.co.uk/,https://www.linkedin.com/company/carspring,"Peter Baumgart, Maximilian Vollenbroich",Internet,GBR,,
Verseon,http://www.verseon.com/,https://www.linkedin.com/company/verseon,"Eniko Fodor, Adityo Prakash",Biotechnology,USA,,
Panshi,http://www.adyun.com/about,,,"Web Hosting, Apps, Software, Advertising",CHN,,
Arumai Technologies,http://www.arumaiholdings.com,https://www.linkedin.com/company/3508905?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A1-1-1%2CtarId%3A1430799826498%2Ctas%3AArumai%20Technologies%2C,"David J. Colter, Mark A. McCormick, Greg Thagard, Marc R. Garber, P. Stephen Lamont",Video,USA,,
Ujipin,http://www.ujipin.com,,,"Baby Accessories, Home Decor, Online Shopping, Shopping",,,
Let's Recycle,http://www.letsrecycle.in/,,Sandeep Patel,"Waste Management, Recycling, Services",IND,,
Water Generating Systems,http://watergeneratingsystems.com,https://www.linkedin.com/company/water-generating-systems,Peter Ottmar,Clean Technology,USA,,
Huakang Mobile Health,http://hk515.com,https://www.linkedin.com/company/huakang-mobile-healthcare,,"Mobile Health, Health Care, Mobile",CHN,,
Beijing Weiying Technology,http://www.wepiao.com/,,David Lim,E-Commerce,CHN,,
